IDS_CLIENT_HELP_INC_000000	基本操作法
IDS_CLIENT_HELP_INC_000641	成员的管理可透过公会视窗的成员管理页面进行成员的升阶、升职、赋予称号、退出、公会会长变更等的功能。
IDS_CLIENT_HELP_INC_000642	称号管理
IDS_CLIENT_HELP_INC_000643	称号管理可透过公会视窗的称号管理页面进行有关公会称号的各种权限设定，可以指定有关称号、等级、加入、金币、道具权限的设定，对於各称号能够设定一天支付一次的月薪额度。
IDS_CLIENT_HELP_INC_000644	公会公告
IDS_CLIENT_HELP_INC_000645	公会公告可透过公会视窗的公会情报页面进行。此页面中有个『Notice』的按钮，按下去之后会出下公告设定的视窗，此时选择『New』，并将想要公会的内容输入完毕之后，按下『Start』键即可。若要将目前公告中的内容修改，可按下『Edit』来进行。此功能只有公会会长能够使用。
IDS_CLIENT_HELP_INC_000646	公会徽章
IDS_CLIENT_HELP_INC_000647	代表工会的徽章只能由会长去设定，而且只能设定一次。若要设定公会徽章，可在公会情报页面上按下『Logo』按钮后，选择想要的图即可。
IDS_CLIENT_HELP_INC_000648	公会仓库
IDS_CLIENT_HELP_INC_000649	公会仓库只能在各伺服器的第一世界使用。虽然在公会仓库放入的道具或金币不管是谁都可以使用，但是必需要被赋予称号的公会会员才能够取出公会仓库里的道具和金币。『Suppot』按钮是为了支援公会成长而贡献经验值或金币时使用的按钮。『Cloak』按钮会提供画有工会徽章图的斗蓬。点击公会仓库记录视窗后，能够看到公会仓库里有关道具或金币移动的内容，公会会长及首领级人物玩家才有权限阅览。
IDS_CLIENT_HELP_INC_000650	自动解说功能
IDS_CLIENT_HELP_INC_000651	自动解说功能会适时的为您提供解说的服务。
IDS_CLIENT_HELP_INC_000652	显示
IDS_CLIENT_HELP_INC_000653	"可设定显示或不显示自动解说的功能，您也可在产生游戏角色的时候决定,或可在START按钮-设定-OPTION的'使用所有技能''使用部分技能''不使用'这3个选单中选一个。"
IDS_CLIENT_HELP_INC_000654	隐藏
IDS_CLIENT_HELP_INC_000655	想要将自动解说功能隐藏起来，可在【解说乓】身上点滑鼠右键来选择隐藏，或在设定中选择显示或不显示。
IDS_CLIENT_HELP_INC_000656	玩家之间的战斗
IDS_CLIENT_HELP_INC_000657	这是指玩家之间的发生的战斗。此战斗分为在对方同意之下进行的PvP战斗与没有得到对方同意而进行的PK战斗。
IDS_CLIENT_HELP_INC_000658	PvP
IDS_CLIENT_HELP_INC_000659	双方同意后进行的战斗。此战斗并不会像PK般受到惩罚，但是会影响PVP名誉及PVP点数。
IDS_CLIENT_HELP_INC_000660	申请PvP
IDS_CLIENT_HELP_INC_000661	选择想要进行PvP的玩家，点了对方的名称后，按著键盘的ALT键+滑鼠左键叫出选单，并选择申请对战，即可发出PvP的邀请。
IDS_CLIENT_HELP_INC_000662	
IDS_CLIENT_HELP_INC_000663	PvP的结果与名誉
IDS_CLIENT_HELP_INC_000664	依照PvP的战积，玩家的PvP名誉与PvP点数会产生变化。
IDS_CLIENT_HELP_INC_000665	
IDS_CLIENT_HELP_INC_000666	
IDS_CLIENT_HELP_INC_000667	
IDS_CLIENT_HELP_INC_000668	
IDS_CLIENT_HELP_INC_000669	
IDS_CLIENT_HELP_INC_000670	
IDS_CLIENT_HELP_INC_000671	
IDS_CLIENT_HELP_INC_000672	
IDS_CLIENT_HELP_INC_000673	
IDS_CLIENT_HELP_INC_000674	
IDS_CLIENT_HELP_INC_000675	
IDS_CLIENT_HELP_INC_000676	
IDS_CLIENT_HELP_INC_000677	
IDS_CLIENT_HELP_INC_000678	
IDS_CLIENT_HELP_INC_000679	
IDS_CLIENT_HELP_INC_000680	
IDS_CLIENT_HELP_INC_000681	
IDS_CLIENT_HELP_INC_000682	
IDS_CLIENT_HELP_INC_000683	伺服器分流
IDS_CLIENT_HELP_INC_000684	随著各伺服器群，可以区分为1伺服和2伺服器。2伺服器能够不会支援公会仓库使用或公会大战等部分功能，其余的状况皆和1伺服器一致。
IDS_CLIENT_HELP_INC_000685	金牛座伺服器只有15岁以上可以使用的PK伺服器。
IDS_CLIENT_HELP_INC_000686	
IDS_CLIENT_HELP_INC_000687	
IDS_CLIENT_HELP_INC_000688
IDS_CLIENT_HELP_INC_000689
IDS_CLIENT_HELP_INC_000690
IDS_CLIENT_HELP_INC_000691
IDS_CLIENT_HELP_INC_000692
IDS_CLIENT_HELP_INC_000693
IDS_CLIENT_HELP_INC_000694
IDS_CLIENT_HELP_INC_000695
IDS_CLIENT_HELP_INC_000696
IDS_CLIENT_HELP_INC_000697
IDS_CLIENT_HELP_INC_000698
IDS_CLIENT_HELP_INC_000699
IDS_CLIENT_HELP_INC_000700
IDS_CLIENT_HELP_INC_000701
IDS_CLIENT_HELP_INC_000702
IDS_CLIENT_HELP_INC_000703
IDS_CLIENT_HELP_INC_000704
IDS_CLIENT_HELP_INC_000705
IDS_CLIENT_HELP_INC_000706
IDS_CLIENT_HELP_INC_000707
IDS_CLIENT_HELP_INC_000708
IDS_CLIENT_HELP_INC_000709
